sequence,locale,year_month,between_lease_and_lease_deposit_ratio,lease_to_sale_ratio,monthly_rent_rate_of_return,average_lease_on_deposit_price,average_lease_on_deposit_price_per_unit,midian_lease_on_deposit_price,midian_lease_on_deposit_price_per_unit,average_monthly_rent_deposit,average_monthly_rent_price,midian_average_monthly_rent_deposit,midian_average_monthly_rent_price,average_sale_price,average_price_per_unit,midian_average_sale_price,midian_average_price_per_unit
1,nationwide,2020-07,7.95,83.54,4.75,163525,4370,156386,4266,13107,661,10705,634,203454,5272,190155,4997
2,metropolitan,2020-07,7.46,84.31,4.61,175996,4797,167524,4682,13656,698,11247,668,217040,5751,202398,5434
3,province,2020-07,9.96,80.33,5.35,111980,2603,110353,2545,10837,507,8466,492,147304,3295,139555,3191
4,seoul,2020-07,7.1,82.8,4.33,199524,6033,190788,6025,15250,777,12876,744,251315,7342,235222,7064
5,seoul-downtown,2020-07,6.13,79.55,4.18,235665,6405,223768,6221,13906,946,13701,919,310153,8155,307248,7901
6,seoul-northeastern,2020-07,8,82.64,4.95,136655,4778,135819,4462,11135,612,11519,608,166160,5751,162059,5416
7,seoul-northwestern,2020-07,6.73,83.75,4.46,187934,6434,180747,6370,11923,768,11474,710,233877,7629,207423,7353
8,seoul-southwestern,2020-07,8.01,85.62,4.33,189461,5827,182424,6015,18688,695,13675,670,233015,6841,216063,6744
9,seoul-southeastern,2020-07,5.89,79.71,3.99,238402,6637,223680,6606,14693,921,12859,869,307776,8424,287112,7919
10,busan,2020-07,10.88,79.26,5.23,119095,2713,117286,2634,12155,533,9058,511,160715,3494,150766,3371
11,daegu,2020-07,8.35,80.93,4.96,108622,2864,106770,2834,8641,493,7107,486,134276,3537,128703,3477
12,incheon,2020-07,9.1,85.86,5.11,126152,2687,124394,2483,11520,542,11199,541,147047,3112,142783,2886
13,gwangju,2020-07,7.48,83.24,6.25,78848,1942,79245,1911,7020,414,6367,415,96035,2337,92105,2211
14,daejeon,2020-07,9.94,84.83,6.88,89552,1908,86096,1839,9211,459,8829,462,109427,2253,103369,2159
15,ulsan,2020-07,7.82,77.55,4.15,120660,2525,120989,2591,9718,467,7983,464,157671,3250,160227,3248
16,sejong,2020-07,4.75,90.88,5.45,87449,3252,87063,3256,4198,413,4198,409,96372,3581,94656,3587
17,gyeonggi,2020-07,7.31,85.55,4.76,165818,4087,155330,3879,12537,659,9364,624,201307,4809,184764,4416
18,nationwide,2020-08,7.93,83.62,4.75,163768,4376,156762,4273,13101,661,10705,635,203677,5275,190471,5001
19,metropolitan,2020-08,7.44,84.4,4.61,176294,4805,167927,4690,13649,698,11247,670,217289,5755,202578,5439
